Frame Index,Mean Arrow Length,Max Arrow Length,Mean Angle (°),Angle Std Dev (°),Dominant Angle Range
105,0.18690592,3.2834888,23.460577,27.27497,0° to 30°
106,0.18542671,2.7619042,-2.8057404,19.294306,-30° to 0°
107,0.35772437,4.84737,128.53293,13.453117,120° to 150°
108,0.5748605,2.0563731,-89.20969,2.7167397,-90° to -60°
109,0.5314528,2.1596045,-48.567787,5.2376165,-60° to -30°
110,0.44103193,1.8535566,-112.35386,9.051958,-120° to -90°
111,0.19866401,2.209728,-147.46701,53.859505,-180° to -150°
112,0.20952395,0.8734406,-58.580696,7.479275,-60° to -30°
113,0.2505016,1.8642921,-81.49367,6.2606335,-90° to -60°
114,0.023326147,0.8905732,-54.55827,23.521461,-90° to -60°
115,0.1339699,1.0220176,68.612305,9.703302,60° to 90°
116,0.26676685,1.9511206,-16.070126,169.98216,-180° to -150°
117,0.13089286,1.093065,74.26325,28.883392,90° to 120°
118,0.061054196,0.88470733,148.65973,28.234259,150° to 180°
119,1.261835,3.6854703,71.74358,4.631475,60° to 90°
120,0.18410742,0.93206906,69.13467,3.9583542,60° to 90°
121,0.19625011,0.98137224,58.80655,7.0560884,30° to 60°
122,0.6097918,2.0480032,64.514206,2.5099902,60° to 90°
123,0.12272361,1.0199015,81.46915,150.89241,150° to 180°
124,0.20492384,1.0292282,156.77708,8.937706,150° to 180°
125,0.40536425,0.82318515,100.96387,1.9709684,90° to 120°
126,0.025505865,0.96173733,-20.054026,84.012215,-90° to -60°
127,0.1275079,1.0244263,-106.58866,13.343659,-120° to -90°
128,0.18453375,0.9396743,-70.82512,8.627909,-90° to -60°
129,0.71779096,1.7273153,-104.101944,1.4510301,-120° to -90°
130,0.3830222,1.732575,-69.12865,13.982338,-90° to -60°
131,0.22311173,1.9502232,-128.41353,24.705996,-150° to -120°
132,0.028208893,1.0452687,2.9096167,25.154688,-30° to 0°
133,0.20134577,0.97810996,63.69022,5.5831056,60° to 90°
134,0.31204316,1.082121,-75.44229,1.8040715,-90° to -60°
135,0.083541185,0.86764187,-161.93076,46.49719,-180° to -150°
136,0.24093473,1.1031682,-88.590004,7.806724,-90° to -60°
137,0.069488496,1.2821447,-30.843493,64.7036,0° to 30°
138,0.25643584,0.9604316,90.26003,2.5578861,90° to 120°
139,1.4548265,5.006993,95.48819,3.5247638,90° to 120°
140,0.43365276,0.97760385,52.41365,3.4287062,30° to 60°
141,0.049674395,1.0266347,-29.509903,73.12983,-90° to -60°
142,0.28674465,1.2934893,54.87108,9.861017,30° to 60°
143,0.18204343,0.84975725,108.564896,5.146902,90° to 120°
144,0.06228514,0.6046742,98.0668,9.856999,90° to 120°
145,0.04419516,1.0081217,54.71838,27.193855,60° to 90°
146,0.0687217,0.9866995,148.7304,9.843638,120° to 150°
147,0.035904825,0.7870573,-139.1268,16.434004,-150° to -120°
148,0.252127,1.2821592,-94.90392,5.60999,-120° to -90°
149,0.24128413,1.9164703,-10.35907,13.69598,-30° to 0°
150,0.21511227,1.8579665,-110.381546,20.355919,-120° to -90°
151,0.23776165,0.9773068,-105.454254,14.029723,-120° to -90°
152,0.03514846,0.66237056,-87.08569,27.749882,-90° to -60°
153,0.047641654,0.9320561,3.8341923,17.57588,-30° to 0°
154,0.25102705,0.989007,-68.90494,4.5149617,-90° to -60°
155,0.26056838,0.99570185,161.6051,48.360874,150° to 180°
156,0.22312087,0.8632001,-45.55659,8.205602,-60° to -30°
157,0.25472566,2.3725076,-129.9575,74.55643,-150° to -120°
158,0.36987245,0.97379535,148.93916,4.7561975,120° to 150°
159,0.5818379,7.058068,68.986084,24.304178,60° to 90°
160,0.018388633,0.6350349,46.321976,25.142353,60° to 90°
161,0.029166099,1.0359808,-95.41551,80.22759,-120° to -90°
162,0.03150475,0.7727429,25.359673,10.200498,0° to 30°
163,0.06946303,1.0013032,118.72027,3.8649194,90° to 120°
164,0.020434253,0.4629467,85.91328,20.44063,60° to 90°
165,0.06066908,0.9938793,113.7543,4.465892,90° to 120°
166,0.012616731,0.66072845,-24.134613,111.97712,-150° to -120°
167,0.012817053,0.4032214,-18.24546,73.29481,30° to 60°
